polyid,fireid,cen_lon,cen_lat,acq_date_lst,area_sqkm,v_lct,f_lct,v_tree,v_herb,v_bare,v_regnum
1,3,-111.845270396401,31.0202321488425,2016-05-31,1.09337443214953,10,0.605263157894737,2.26315789473684,52.3421052631579,45.8684210526316,2
2,3,-111.853949296764,31.0094221067631,2016-05-31,1.08856849912822,7,0.921052631578947,3.28947368421053,45.8947368421053,51.3684210526316,2
3,3,-111.83280959674,31.0123244197578,2016-05-31,1.09088123855446,7,0.685714285714286,1.14285714285714,43.8285714285714,55.5428571428571,2
4,3,-111.84322960852,31.0106678903156,2016-05-31,1.09347335283017,10,0.864864864864865,1.91891891891892,51.9189189189189,46.7297297297297,2
5,3,-111.855690565597,31.018575587643,2016-05-31,1.09084949885321,7,1,2.87179487179487,41.3076923076923,56.3846153846154,2
6,3,-111.834550611957,31.0214779500855,2016-05-31,1.08844958954263,7,0.871794871794872,1.28205128205128,45.6923076923077,53.4871794871795,2
7,4,-110.955203388265,33.8732953237988,2016-05-31,1.06583561472142,10,0.641025641025641,26.1794871794872,60.4615384615385,14.1282051282051,1
8,4,-110.953493505775,33.8640885646842,2016-05-31,1.09085833674037,1,0.526315789473684,30.9736842105263,63.6052631578947,5.86842105263158,1
9,4,-110.966117344776,33.8720800930478,2016-05-31,1.07760678386497,6,0.421052631578947,35.1578947368421,59,6.28947368421053,1
10,4,-110.942938706385,33.8656375548153,2016-05-31,1.08145672336153,9,0.307692307692308,36.1538461538462,55.6153846153846,8.92307692307692,1
11,4,-110.964535898424,33.8629161963109,2016-05-31,1.07492390025985,8,0.666666666666667,34.6410256410256,60.2051282051282,5.74358974358974,1
12,9,-110.91459081081,33.8054898122493,2016-05-31,1.07082600459957,9,0.914285714285714,23,62.6285714285714,14.9714285714286,1
13,9,-110.894298124156,33.8171013559175,2016-05-31,1.10570304765224,9,1,22.2619047619048,63.6190476190476,14.7142857142857,1
14,9,-110.916304692519,33.8144870948315,2016-05-31,1.08498377048397,9,0.717948717948718,17.3589743589744,65.0512820512821,18.1025641025641,1
15,9,-110.903401662964,33.834282988977,2016-05-31,1.24077800395489,9,0.880952380952381,30.5952380952381,56.5714285714286,13.452380952381,1
16,9,-110.90754728411,33.8251015780486,2016-05-31,1.12418571963966,9,0.951219512195122,28.2439024390244,58.2926829268293,14.2926829268293,1
17,9,-110.895618882215,33.8270591549634,2016-05-31,1.25032581730556,9,0.954545454545455,24.1818181818182,61.2954545454545,15.1363636363636,1
18,9,-110.905208472215,33.8155154492584,2016-05-31,1.10106781016493,9,0.512820512820513,15.7435897435897,63.5128205128205,21.2564102564103,1
19,28,-111.398001066671,34.4751759018798,2016-05-31,1.08181982262683,8,0.717948717948718,49.2307692307692,43.9487179487179,7.28205128205128,1
20,28,-111.432409371249,34.480106653025,2016-05-31,1.08574185604095,8,0.775,40.775,51.55,8.175,1
21,28,-111.421343031986,34.4813996478958,2016-05-31,1.0717063591513,8,1,43.6153846153846,49.4871794871795,7.56410256410256,1
22,28,-111.40891508408,34.4739804639557,2016-05-31,1.15245846437561,8,0.780487804878049,45.9024390243902,46.5365853658537,7.95121951219512,1
23,28,-111.390710911035,34.494713119284,2016-05-31,1.06974566356504,8,0.926829268292683,44.1463414634146,48.7317073170732,7.80487804878049,1
24,28,-111.387190721788,34.4767933542752,2016-05-31,1.08576329779053,8,0.925,46.35,45.625,8.525,1
25,28,-111.388704834162,34.4859507635449,2016-05-31,1.08065254421711,8,0.769230769230769,44.3846153846154,48.4871794871795,7.69230769230769,1
26,28,-111.419593167202,34.4721858936929,2016-05-31,1.08376970329297,8,0.973684210526316,45.0789473684211,47.4473684210526,7.94736842105263,1
27,28,-111.430665571915,34.4710044017026,2016-05-31,1.07322400773537,8,0.897435897435897,43.4358974358974,49.0512820512821,8.12820512820513,1
28,28,-111.399993716025,34.4846235553991,2016-05-31,1.07437268873936,1,0.513513513513513,45.3513513513514,48,7.21621621621622,1
29,6,-110.936191652089,33.8297395519462,2016-05-31,1.07272582988337,9,0.976190476190476,30.8571428571429,56.6190476190476,13,1
