longi,lat,polyid,fireid,jd,lct,genLC,pcttree,pctherb,pctbare,area,bmass,CO,NOx,NO,NO2,NH3,SO2,NMOC,PM25,PM10,OC,BC
-111.419593811,34.4721870422,26,28,151,8,2,45.0789489746,47.4473686218,7.9473686218,997638.4375,3.2726812363,218751.828125,11900.751953125,2514.0134277344,8423.5771484375,3917.9431152344,2220.1677246094,80970.8203125,23181.1640625,37220.4609375,12080.3251953125,4277.0874023438
-111.4306640625,34.4710044861,27,28,151,8,2,43.4358978271,49.0512809753,8.1282052994,985990.125,3.2444646358,214333.6875,11660.3916015625,2463.2377929688,8253.4462890625,3838.8125,2175.3269042969,79335.4453125,22712.97265625,36468.7109375,11836.3369140625,4190.703125
-111.3999938965,34.4846229553,28,28,151,1,6,45.3513526917,48,7.2162160873,996843.5625,6.3722696304,711441.5,12450.2255859375,6034.5478515625,14864.0439453125,7432.0219726563,6987.3720703125,313161.28125,113703.59375,116879.671875,48276.3828125,3557.2072753906
-110.9361953735,33.8297386169,29,6,151,9,1,30.8571434021,56.6190490723,13,933271.375,2.4775006771,145667.359375,9017.50390625,4994.3100585938,7445.2211914063,1294.8210449219,2080.9621582031,65203.4921875,16578.3359375,16647.697265625,6011.6689453125,855.5067749023
-110.948348999,33.8373603821,30,6,151,9,1,34.5714302063,56.7142868042,9.1714286804,982155.8125,2.5853941441,159973.375,9903.1142578125,5484.8017578125,8176.4169921875,1421.9854736328,2285.3337402344,71607.125,18206.494140625,18282.669921875,6602.0756835938,939.526184082
-110.9468917847,33.8285331726,31,6,151,8,2,39.7179489136,54.4358978271,6.5128207207,1004988.5625,2.8327126503,190738.53125,10376.74609375,2192.0698242188,7344.8569335938,3416.2126464844,1935.8538818359,70601.7265625,20212.58984375,32454.017578125,10533.322265625,3729.365234375
-109.1141433716,31.8707389832,32,18,151,10,1,6,47.7105255127,46.8684196472,615564.75,0.7369084358,28577.736328125,1769.0979003906,979.8081054688,1460.6398925781,254.024307251,408.2533569336,12791.939453125,3252.4187011719,3266.0268554688,1179.3985595703,167.8374938965
-109.1252593994,31.8697605133,33,18,151,10,1,4.6190476418,47.3809509277,48.5238113403,596391.1875,0.713440001,26805.828125,1659.4084472656,919.0570068359,1370.0756835938,238.274017334,382.9403991699,11998.798828125,3050.7585449219,3063.5231933594,1106.2722167969,157.431060791
-111.3803405762,34.7354354858,34,38,151,9,1,31.6486492157,55.5405387878,13.4054050446,936326.5,2.4693720341,145664.71875,9017.33984375,4994.2197265625,7445.0854492188,1294.7974853516,2080.9245605469,65202.30859375,16578.033203125,16647.396484375,6011.5595703125,855.4912719727
-111.3909606934,34.734462738,35,38,151,8,2,37.7894744873,52.3947372437,10.4736843109,968032.625,2.7132821083,175978.546875,9573.7587890625,2022.4401855469,6776.4868164063,3151.8549804688,1786.0510253906,65138.328125,18648.474609375,29942.619140625,9718.21875,3440.7744140625
-109.4692993164,26.9106998444,36,1,151,12,9,8.6333332062,74.3666687012,17.6666660309,821908.375,0.3400012553,25429.939453125,679.0631713867,329.7508544922,835.5551147461,592.4337158203,111.7799530029,14363.7236328125,1796.8626708984,1961.73828125,743.3366699219,142.5194396973
-111.6037979126,28.9983997345,37,2,151,10,1,0.027777778,24.7777786255,75.75,242178.25,0.1016134843,1550.3402099609,95.9734420776,53.1545219421,79.239616394,13.7808036804,22.1477184296,693.9618530273,176.4434967041,177.1817474365,63.98229599,9.105173111
-115.4161987305,32.4630012512,38,17,151,16,1,0,7.2333331108,93.1333312988,68624.4375,0.0296306256,128.1032562256,7.9302015305,4.3921117783,6.5474996567,1.1386955976,1.8300465345,57.3414611816,14.5793714523,14.6403722763,5.2868008614,0.7523524761
-111.2154006958,31.4344997406,39,24,151,7,2,12.2333335876,60.5999984741,27.6666660309,722731.875,0.5852887034,28341.455078125,1541.8598632813,325.7152099609,1091.3575439453,507.6081848145,287.6446228027,10490.568359375,3003.3479003906,4822.27734375,1565.1252441406,554.1388549805
-111.5820999146,34.9749984741,40,40,151,9,1,33.5952377319,56.2619056702,10.571428299,894220.75,2.5449337959,143371.15625,8875.357421875,4915.5825195313,7327.8588867188,1274.4102783203,2048.1591796875,64175.66015625,16317.0029296875,16385.2734375,5916.904296875,842.0210571289
-110.9527664185,33.8564338684,41,44,152,1,6,29.4310340881,60.689655304,10.4310340881,1498461.5,4.230445385,709985.875,12424.7529296875,6022.2016601563,14833.6328125,7416.81640625,6973.0756835938,312520.5625,113470.953125,116640.5390625,48177.61328125,3549.9291992188
-110.9098739624,33.8076972961,42,44,152,9,1,16.3650798798,67.1904754639,16.9841270447,1511839.375,2.3664605618,225395.609375,13953.0615234375,7727.8505859375,11520.220703125,2003.5166015625,3219.9372558594,100891.375,25652.16796875,25759.498046875,9302.041015625,1323.751953125
-110.883430481,33.8211479187,43,44,152,9,1,24.5625,60.6458320618,15.3541669846,1254939.125,2.4132704735,190795.984375,11811.1787109375,6541.5766601563,9751.7939453125,1695.9642333984,2725.6564941406,85403.9140625,21714.400390625,21805.251953125,7874.119140625,1120.5477294922
-110.8927459717,33.8097839355,44,44,152,10,1,15.9393939972,67.1212158203,17.4242420197,1519708.75,1.1395915747,109106.375,6754.205078125,3740.7902832031,5576.5478515625,969.8344116211,1558.6624755859,48838.09765625,12417.3447265625,12469.2998046875,4502.802734375,640.7835083008
-110.8955230713,33.8216972351,45,44,152,9,1,24.1071434021,61.5357131958,14.928571701,1317448.125,2.4255771637,201321.046875,12462.732421875,6902.4360351563,10289.7421875,1789.5203857422,2876.0146484375,90115.1328125,22912.251953125,23008.1171875,8308.4873046875,1182.3615722656
-110.9383926392,33.8154335022,46,44,152,10,1,18.8412704468,56.6190490723,25.0952377319,1343380.375,1.0353156328,87621.8203125,5424.2084960938,3004.1772460938,4478.4497070313,778.8607177734,1251.7403564453,39221.19921875,9972.1982421875,10013.9228515625,3616.138671875,514.6044311523
-110.9375228882,33.825969696,47,44,152,9,1,30.7118644714,54.372882843,15.4406776428,1445855.5,2.4097702503,219503.3125,13588.2998046875,7525.828125,11219.05859375,1951.1405029297,3135.7614746094,98253.875,24981.568359375,25086.091796875,9058.8671875,1289.146484375
-110.9518280029,33.8234024048,48,44,152,10,1,33.0175437927,54.4561386108,13.0526313782,1425273.75,1.2001389265,107763.1796875,6671.0541992188,3694.7375488281,5507.8955078125,957.8948974609,1539.4738769531,48236.84765625,12264.474609375,12315.791015625,4447.3686523438,632.8948364258
-110.9292755127,33.795463562,49,44,152,10,1,17.2264156342,57,26.3396224976,1081400.25,1.0183864832,69380.859375,4295.0053710938,2378.7722167969,3546.1325683594,616.7186889648,991.1550292969,31056.19140625,7896.2021484375,7929.240234375,2863.3366699219,407.4748535156
-110.9750518799,33.8627662659,50,44,152,1,6,43.3333320618,51.2380943298,6.047618866,1659879.125,6.2982497215,1170885.375,20490.494140625,9931.6162109375,24463.138671875,12231.5693359375,11499.7666015625,515398.625,187132.5625,192359.734375,79452.9296875,5854.4262695313
-110.9178466797,33.7970733643,51,44,152,9,1,18.7222213745,62.8611106873,18.9305553436,1641931.125,2.3106031418,239012.640625,14796.01953125,8194.71875,12216.2021484375,2124.556640625,3414.4660644531,106986.609375,27201.912109375,27315.728515625,9864.0126953125,1403.7248535156
-110.9084701538,33.8189697266,52,44,152,9,1,18.652173996,62.1159439087,19.8550720215,1582498,2.2875146866,228059.21875,14117.9521484375,7819.1728515625,11656.359375,2027.1929931641,3257.9885253906,102083.6484375,25955.310546875,26063.908203125,9411.966796875,1339.3953857422
-110.9430160522,33.8472328186,53,44,152,9,1,28.046875,56.359375,16.234375,1463281.75,2.3905539513,220377.40625,13642.4111328125,7555.796875,11263.734375,1958.9102783203,3148.2485351563,98645.125,25081.046875,25185.98828125,9094.9404296875,1294.2800292969
-110.9603271484,33.8636474609,54,44,152,8,2,33.7954559326,61.3409080505,5.4318180084,1244601.5,2.8622727394,238680.0625,12984.908203125,2743.0395507813,9190.962890625,4274.8671875,2422.4245605469,88347.2421875,25292.962890625,40611.23046875,13180.8388671875,4666.7294921875
-110.9583740234,33.884059906,55,44,152,8,2,26.5370368958,63.851852417,10.1666669846,1373370.25,2.7194402218,250231.484375,13613.33984375,2875.7946777344,9635.7802734375,4481.7578125,2539.6628417969,92622.9921875,26517.068359375,42576.69921875,13818.75390625,4892.5854492188
-110.9440231323,33.8656082153,56,44,152,9,1,34.6315803528,57.4035072327,8.5789470673,1481045.25,2.6066176891,243212.671875,15056.0234375,8338.720703125,12430.8701171875,2161.8903808594,3474.4670410156,108866.6328125,27679.919921875,27795.736328125,10037.34765625,1428.3919677734
-110.9649124146,33.8734130859,57,44,152,6,2,30.8363628387,60.1090927124,9.5454549789,1434983.375,1.1051691771,106255.265625,5780.603515625,1221.1424560547,4091.6203613281,1903.0793457031,1078.4116210938,39330.3046875,11259.8857421875,18079.251953125,5867.828125,2077.5280761719
-110.951171875,33.8747138977,58,44,152,10,1,26.053571701,60.6607131958,13.946428299,1320495.75,1.1897199154,98974.265625,6126.978515625,3393.4035644531,5058.6850585938,879.7712402344,1413.91796875,44302.76953125,11264.21484375,11311.34375,4084.6520996094,581.2774658203
-110.9013671875,33.798324585,59,44,152,10,1,14.367647171,68.4852905273,17.6911773682,1574290.5,1.1367423534,112742.453125,6979.2944335938,3865.4555664063,5762.3920898438,1002.1551513672,1610.6063232422,50465.66796875,12831.1650390625,12884.8505859375,4652.8627929688,662.1381835938
-110.9407501221,33.8360176086,60,44,152,9,1,29.3111114502,56.4000015259,14.911110878,1084748.625,2.4275102615,165894.015625,10269.62890625,5687.794921875,8479.0283203125,1474.6136474609,2369.9145507813,74257.328125,18880.3203125,18959.31640625,6846.4194335938,974.2982788086
-110.9533538818,33.8348083496,61,44,152,8,2,38.1304359436,56.3478279114,6.021739006,1223817,2.8424730301,233070.671875,12679.7412109375,2678.5732421875,8974.9599609375,4174.400390625,2365.4934082031,86270.9375,24698.53515625,39656.80078125,12871.068359375,4557.0537109375
-110.969291687,33.8524360657,62,44,152,10,1,36.0923080444,54.3230781555,10.153845787,1645044.75,1.2404991388,128562.625,7958.638671875,4407.861328125,6570.978515625,1142.7789306641,1836.6088867188,57547.0859375,14631.6513671875,14692.87109375,5305.7583007813,755.0503540039
-110.9252624512,33.8125534058,63,44,152,9,1,20.9090900421,62.0707054138,17.5151519775,2371623.75,2.350153923,351141.90625,21737.35546875,12039.1513671875,17947.251953125,3121.2612304688,5016.3125,157177.8125,39963.29296875,40130.5,14491.5703125,2062.2619628906
-110.9566574097,33.8454551697,64,44,152,10,1,27.148147583,56.5925941467,16.7037029266,1350687.75,1.1489230394,97765.6875,6052.162109375,3351.9665527344,4996.9125976563,869.0283203125,1396.6525878906,43761.78515625,11126.666015625,11173.220703125,4034.7741699219,574.1794433594
-111.4063796997,34.4785690308,65,47,152,8,2,45.7741928101,46.9569892883,7.6666665077,2403025,3.288018465,529379.75,28799.83984375,6083.9165039063,20385.072265625,9481.4287109375,5372.8095703125,195949.515625,56098.45703125,90073.5703125,29234.40625,10350.55859375
-111.4183959961,34.473739624,66,47,152,8,2,45.1016960144,47.4915237427,7.9322032928,1478643.375,3.274210453,324373.09375,17646.86328125,3727.8701171875,12490.78515625,5809.66796875,3292.1450195313,120066.4609375,34373.8671875,55191.83984375,17913.142578125,6342.2202148438
-111.4180526733,34.4629554749,67,47,152,9,1,45.2222213745,47.2222213745,7.8888888359,1256691.75,2.9099519253,230385.5,14261.9599609375,7898.931640625,11775.2587890625,2047.8709716797,3291.2209472656,103124.9375,26220.064453125,26329.767578125,9507.97265625,1353.0577392578
-111.4305114746,34.4699478149,68,47,152,8,2,43.5740737915,49.055557251,7.9629631042,1438404.75,3.2492349148,313138.90625,17035.69140625,3598.7604980469,12058.1845703125,5608.4580078125,3178.1262207031,115908.125,33183.375,53280.34765625,17292.74609375,6122.5659179688
-111.3900756836,34.48670578,69,47,152,8,2,44.6716423035,48.2985076904,7.597014904,1878140.75,3.273411274,411911.125,22409.193359375,4733.9038085938,15861.6513671875,7377.5131835938,4180.5903320313,152468.578125,43650.28125,70086.3671875,22747.33203125,8053.7841796875
-111.3917236328,34.4760818481,70,47,152,8,2,48.25806427,44.387096405,7.8870968819,1593481.625,3.3299384117,355515.125,19341.083984375,4085.7707519531,13689.9853515625,6367.4350585938,3608.212890625,131593.640625,37673.98828125,60490.62890625,19632.923828125,6951.1162109375
-111.2072753906,31.4311885834,71,51,152,7,2,10.3389825821,56.8474578857,33.372882843,1138398.75,0.5399102569,41180.42578125,2240.337890625,473.2674865723,1585.7535400391,737.5598144531,417.9505615234,15242.90234375,4363.8955078125,7006.8173828125,2274.1428222656,805.1693725586
-111.2276992798,31.4159412384,72,51,152,7,2,10.6750001907,58.7999992371,31.1000003815,825103.75,0.5583011508,30863.978515625,1679.0925292969,354.7054138184,1188.4934082031,552.7876586914,313.2463378906,11424.27734375,3270.66015625,5251.4819335938,1704.4285888672,603.4598388672
-111.2037887573,31.4195423126,73,51,152,7,2,6.5599999428,50.5800018311,43.4000015259,821004.9375,0.4591770768,25258.10546875,1374.1163330078,290.2797241211,972.6255493164,452.383972168,256.3509216309,9349.2685546875,2676.6052246094,4297.6474609375,1394.8505859375,493.8524780273
-111.2157058716,31.4170589447,74,51,152,7,2,9.3488368988,54.7906990051,36.4651145935,825075.5,0.5154252648,28492.740234375,1550.0900878906,327.4538574219,1097.1829833984,510.3177185059,289.1800537109,10546.56640625,3019.3796386719,4848.0180664063,1573.4796142578,557.0968017578
-111.2180175781,31.4265270233,75,51,152,7,2,9.1282052994,56.4615402222,34.974357605,756267.75,0.5270792246,26707.072265625,1452.9444580078,306.9320068359,1028.4215087891,478.3356323242,271.056854248,9885.6025390625,2830.1525878906,4544.1879882813,1474.8682861328,522.1830444336
-111.2307662964,31.4253978729,76,51,152,7,2,7.2800002098,56.9799995422,36.3199996948,929239.0625,0.5163933635,32150.142578125,1749.0637207031,369.4867248535,1238.0203857422,575.823425293,326.2999572754,11900.3505859375,3406.9555664063,5470.322265625,1775.4555664063,628.6072387695
-111.242225647,31.4341888428,77,51,152,7,2,7.6799998283,57.0600013733,35.8199996948,917244.6875,0.5202506781,31972.212890625,1739.3836669922,367.4418029785,1231.1685791016,572.6365966797,324.4940490723,11834.490234375,3388.0998535156,5440.0473632813,1765.6296386719,625.1282348633
-111.2193603516,31.4364929199,78,51,152,7,2,12.3695650101,60.4782600403,27.6956520081,913537.25,0.5854051709,35830.890625,1949.3074951172,411.7878723145,1379.7565917969,641.7473754883,363.6567993164,13262.7783203125,3797.0048828125,6096.5991210938,1978.7208251953,700.5740966797
-111.2314758301,31.435251236,79,51,152,10,1,9.023809433,56.7142868042,34.8333320618,853422.25,0.9019266367,48492.62890625,3001.9245605469,1662.6044921875,2478.5122070313,431.0455932617,692.7518310547,21706.224609375,5518.9228515625,5542.0146484375,2001.2829589844,284.7980041504
-122.2040023804,43.8737983704,80,135,152,1,6,63.4857139587,14.3142852783,22.6285705566,775236.0625,8.802936554,764327.625,13375.734375,6483.1362304688,15968.98828125,7984.494140625,7506.7895507813,336440.625,122155.9296875,125568.1015625,51865.08984375,3821.6379394531
-110.8205032349,29.4315700531,81,57,152,10,1,2.9836065769,57.0819664001,40.4426231384,1084890,0.2460526228,16817.22265625,1041.0661621094,576.5905151367,859.546875,149.4864044189,240.2460327148,7527.708984375,1913.9600830078,1921.9682617188,694.0440673828,98.7678146362
-110.8215637207,29.418794632,82,57,152,10,1,3.3606557846,55.4426231384,41.8196716309,1082918.125,0.2408817559,16433.87890625,1017.3354492188,563.4473266602,839.9537963867,146.078918457,234.7696990967,7356.1176757813,1870.3319091797,1878.1575927734,678.2235717773,96.5164337158
-110.7993011475,29.4166946411,83,57,152,10,1,3.2444443703,55.6222229004,41.644443512,737814.625,0.2411414236,11208.8134765625,693.8788452148,384.3021850586,572.8948974609,99.6338882446,160.1258850098,5017.2778320313,1275.6697998047,1281.0070800781,462.5859375,65.829536438
-110.8308334351,29.4258842468,84,57,152,10,1,3.2682926655,56.7804870605,40.6097564697,748641.625,0.2459838241,11601.6845703125,718.1995849609,397.7720947266,592.9749755859,103.126083374,165.7383422852,5193.134765625,1320.3822021484,1325.9067382813,478.7996826172,68.1368865967
-110.8075714111,29.4232749939,85,57,152,10,1,3.1518986225,56.6835441589,40.8354415894,1412783.5,0.2451099306,21816.09765625,1350.5203857422,747.9805297852,1115.0450439453,193.9208526611,311.6585388184,9765.30078125,2482.8796386719,2493.2683105469,900.346862793,128.1262817383
-120.7572250366,42.4024238586,86,63,152,9,1,36.9000015259,51.1500015259,12.4499998093,947431.875,2.4937522411,148847.59375,9214.3759765625,5103.3466796875,7607.7666015625,1323.08984375,2126.3942871094,66627.0234375,16940.2734375,17011.154296875,6142.9165039063,874.184387207
-120.7603530884,42.3877182007,87,63,152,9,1,42.7173919678,46.9347839355,10.8913040161,1093964.5,2.8337857723,195303.84375,12090.23828125,6696.1323242188,9982.197265625,1736.0343017578,2790.0546875,87421.7265625,22227.4375,22320.4375,8060.158203125,1147.0225830078
-120.7644042969,42.3969116211,88,63,152,9,1,38.4565200806,50.8913040161,11.3043479919,999432,2.5305089951,159331.515625,9863.3798828125,5462.794921875,8143.6103515625,1416.2801513672,2276.1643066406,71319.8203125,18133.443359375,18209.314453125,6575.5859375,935.7564697266
-120.748046875,42.3909988403,89,63,152,9,1,35.9423065186,54.0384597778,10.4423074722,1220543.625,2.5484349728,195959.984375,12130.8583984375,6718.6284179688,10015.7333984375,1741.8665771484,2799.4284667969,87715.4296875,22302.11328125,22395.427734375,8087.2373046875,1150.8760986328
-111.5863189697,34.960609436,90,114,152,9,1,31.0701751709,58.8947372437,10.59649086,1370049.5,2.547986269,219924.640625,13614.3818359375,7540.2734375,11240.5927734375,1954.8857421875,3141.7805175781,98442.453125,25029.517578125,25134.244140625,9076.2548828125,1291.6208496094
-111.5729827881,34.9632568359,91,114,152,9,1,37.5740737915,52.4629631042,10.4444446564,1439590,2.5500290394,231272.765625,14316.8857421875,7929.3525390625,11820.609375,2055.7578125,3303.8967285156,103522.1015625,26321.04296875,26431.173828125,9544.58984375,1358.2686767578
-111.5832595825,34.9510116577,92,114,152,9,1,30.9534893036,58.8139533997,10.7906980515,1114890.375,2.542393446,178572.875,11054.5107421875,6122.4985351563,9127.0576171875,1587.3143310547,2551.041015625,79932.625,20323.294921875,20408.328125,7369.6733398438,1048.7612304688
